product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
FB000171,Bottoms,Ann Taylor,Fall,XS,Brown,54.86,1.7,53.93,2025-08-06,40,2.5,FALSE,N/A
FB000173,Accessories,Ann Taylor,Winter,OS,White,54.07,0,54.07,2025-08-06,47,4.6,FALSE,N/A
FB000175,Dresses,Ann Taylor,Spring,M,Gray,45.97,0,45.97,2024-08-28,37,3.2,TRUE,Quality Issue
FB000176,Tops,Ann Taylor,Summer,XXL,Black,28.79,0,28.79,2025-08-06,4,4.4,FALSE,N/A
FB000192,Tops,Ann Taylor,Fall,S,Black,81.2,0,81.2,2025-08-06,3,1.5,FALSE,N/A
FB000208,Tops,Ann Taylor,Spring,XL,Beige,116.96,8.8,106.67,2025-04-29,33,1.6,FALSE,N/A
FB000257,Accessories,Ann Taylor,Winter,OS,Green,42.11,0,42.11,2025-08-06,26,4,FALSE,N/A
FB000268,Tops,Ann Taylor,Fall,S,White,90.63,0,90.63,2025-08-06,33,4.2,FALSE,N/A
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0,77.63,2024-10-24,1,0,FALSE,N/A
FB000273,Dresses,Ann Taylor,Fall,M,Black,133.12,0,133.12,2025-08-06,35,1.9,FALSE,N/A
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,2025-04-16,5,0,FALSE,N/A
FB000285,Shoes,Ann Taylor,Winter,M,Green,157.42,0,157.42,2025-08-06,38,2.4,FALSE,N/A
FB000292,Outerwear,Ann Taylor,Winter,XS,Purple,176.1,0,176.1,2025-08-06,12,4.6,FALSE,N/A
FB000315,Outerwear,Ann Taylor,Summer,XS,Red,101.75,0,101.75,2025-08-06,7,3.1,FALSE,N/A
FB000340,Shoes,Ann Taylor,Spring,XL,Blue,82.08,40.6,48.76,2025-05-23,43,2.5,TRUE,Quality Issue
FB000342,Bottoms,Ann Taylor,Spring,M,White,95.61,0,95.61,2025-06-10,47,4.7,TRUE,Quality Issue
FB000401,Dresses,Ann Taylor,Fall,XL,Pink,150.89,46.8,80.27,2025-08-06,18,4.9,FALSE,N/A
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,2025-08-06,10,0,FALSE,N/A
FB000040,Bottoms,Banana Republic,Winter,OS,Purple,101.72,0,101.72,2025-08-06,40,0,FALSE,N/A
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0,117.86,2025-08-06,6,0,FALSE,N/A
FB000413,Outerwear,Ann Taylor,Fall,L,Pink,145.02,0,145.02,2025-08-06,36,2.6,FALSE,N/A
FB000416,Dresses,Ann Taylor,Summer,M,Green,55.21,0,55.21,2025-08-06,2,3.8,TRUE,Wrong Item
FB000424,Dresses,Ann Taylor,Spring,M,Navy,50.69,26.3,37.36,2024-10-29,37,4.1,FALSE,N/A
FB000437,Bottoms,Ann Taylor,Spring,L,Blue,96.05,0,96.05,2024-09-09,15,4,FALSE,N/A
FB000446,Tops,Ann Taylor,Spring,OS,Purple,58.56,0,58.56,2025-01-23,21,2.3,FALSE,N/A
FB000454,Accessories,Ann Taylor,Spring,OS,White,16.81,0,16.81,2025-07-31,16,2.8,FALSE,N/A
FB000455,Tops,Ann Taylor,Winter,XL,Black,115.71,55,52.07,2025-08-06,6,1.6,FALSE,N/A
FB000465,Outerwear,Ann Taylor,Winter,XS,Black,229.63,0.3,228.94,2025-08-06,30,3.4,FALSE,N/A
FB000050,Accessories,Banana Republic,Summer,OS,Brown,16.52,55.9,7.29,2025-08-06,43,0,FALSE,N/A
FB000466,Tops,Ann Taylor,Spring,S,Navy,74.09,0,74.09,2024-09-07,35,3.4,FALSE,N/A
FB000468,Tops,Ann Taylor,Spring,L,Purple,32.64,1.4,32.18,2025-05-06,29,1.5,TRUE,Changed Mind
FB000472,Bottoms,Ann Taylor,Fall,OS,Pink,68.53,54.3,31.32,2025-08-06,38,2.9,FALSE,N/A
FB000496,Tops,Ann Taylor,Spring,OS,Beige,51.69,33.4,34.43,2024-08-07,36,3.4,FALSE,N/A
FB000497,Outerwear,Ann Taylor,Summer,L,Pink,137.38,0,137.38,2025-08-06,43,3.5,FALSE,N/A
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,2025-08-06,42,0,FALSE,N/A
FB000512,Accessories,Ann Taylor,Winter,OS,Green,35.36,0,35.36,2025-08-06,42,4.5,FALSE,N/A
FB000515,Outerwear,Ann Taylor,Summer,OS,White,80.35,0,80.35,2025-08-06,28,2.9,FALSE,N/A
FB000528,Outerwear,Ann Taylor,Fall,XL,Pink,234.14,0,234.14,2025-08-06,40,1.7,FALSE,N/A
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,162.16,2025-08-06,27,0,FALSE,N/A
FB000535,Shoes,Ann Taylor,Spring,XL,Red,112.6,22,87.83,2025-07-22,29,2.1,TRUE,Color Mismatch
FB000540,Tops,Ann Taylor,Winter,XL,Navy,103.96,0,103.96,2025-08-06,23,3.3,FALSE,N/A
FB000545,Outerwear,Ann Taylor,Fall,M,Navy,229.04,0,229.04,2025-08-06,5,4.5,FALSE,N/A
FB000546,Accessories,Ann Taylor,Winter,OS,Gray,38.65,32.6,26.05,2025-08-06,46,1.1,FALSE,N/A
FB000556,Tops,Ann Taylor,Spring,XS,Pink,38.5,0,38.5,2025-03-06,2,3.2,FALSE,N/A
FB000559,Tops,Ann Taylor,Spring,S,Navy,79.33,0,79.33,2025-01-30,10,3.4,TRUE,Changed Mind
FB000561,Dresses,Ann Taylor,Spring,M,White,141.42,0,141.42,2025-03-25,10,2.5,FALSE,N/A
FB000575,Accessories,Ann Taylor,Summer,OS,Beige,68.87,0,68.87,2025-08-06,9,1.1,FALSE,N/A
FB000069,Dresses,Forever21,Spring,XS,Green,137.19,9.5,124.16,2025-04-01,17,0,FALSE,N/A
FB000589,Accessories,Ann Taylor,Summer,OS,Navy,17.67,0,17.67,2025-08-06,29,4.3,FALSE,N/A
FB000071,Shoes,Ann Taylor,Winter,XL,White,69.82,0,69.82,2025-08-06,46,0,TRUE,Wrong Item
FB000072,Outerwear,Mango,Summer,XXL,Red,199.39,7.4,184.64,2025-08-06,49,0,FALSE,N/A
FB000602,Accessories,Ann Taylor,Fall,OS,Black,47.28,0,47.28,2025-08-06,38,4.2,FALSE,N/A
FB000612,Outerwear,Ann Taylor,Winter,XXL,Navy,102.03,27.9,73.56,2025-08-06,21,2.2,TRUE,Size Issue
FB000630,Bottoms,Ann Taylor,Fall,OS,Black,47.7,0,47.7,2025-08-06,14,2.3,FALSE,N/A
FB000635,Dresses,Ann Taylor,Fall,OS,Red,131.92,0,131.92,2025-08-06,10,2.5,FALSE,N/A
FB000636,Outerwear,Ann Taylor,Spring,XS,White,205.77,0,205.77,2025-01-31,38,1,FALSE,N/A
FB000648,Outerwear,Ann Taylor,Spring,S,Purple,119.78,0,119.78,2025-04-04,22,1.5,TRUE,Color Mismatch
FB000652,Shoes,Ann Taylor,Winter,M,Black,192.74,0,192.74,2025-08-06,43,4.3,FALSE,N/A
FB000656,Accessories,Ann Taylor,Spring,OS,Black,77.48,0,77.48,2024-10-07,49,3.3,TRUE,Quality Issue
FB000081,Tops,Banana Republic,Spring,S,Navy,78.16,19.1,63.23,2025-07-25,23,0,FALSE,N/A
FB000661,Accessories,Ann Taylor,Winter,OS,Navy,59.22,44.8,32.69,2025-08-06,21,2,FALSE,N/A
FB000662,Tops,Ann Taylor,Spring,XS,Beige,58.5,2.1,57.27,2025-05-23,24,3.9,FALSE,N/A
FB000084,Shoes,Zara,Summer,XS,Purple,191.96,0,191.96,2025-08-06,50,0,FALSE,N/A
FB000085,Outerwear,Ann Taylor,Spring,XL,Beige,222.55,22.6,172.25,2025-02-10,50,0,FALSE,N/A
FB000668,Bottoms,Ann Taylor,Summer,XL,Beige,63.99,42.2,36.99,2025-08-06,35,3.2,FALSE,N/A
FB000087,Outerwear,Uniqlo,Summer,M,Gray,241.09,0,241.09,2025-08-06,26,0,FALSE,N/A
FB000683,Bottoms,Ann Taylor,Summer,XS,Gray,37.57,0,37.57,2025-08-06,18,1.9,FALSE,N/A
FB000690,Bottoms,Ann Taylor,Spring,XL,Beige,41.65,52,19.99,2025-05-16,20,1.2,FALSE,N/A
FB000693,Tops,Ann Taylor,Fall,XXL,Purple,95.13,45.4,51.94,2025-08-06,46,2.5,FALSE,N/A
FB000705,Bottoms,Ann Taylor,Spring,OS,Navy,60.36,0,60.36,2024-09-01,35,3.3,FALSE,N/A
FB000714,Bottoms,Ann Taylor,Spring,S,Navy,102.84,0,102.84,2024-09-10,27,1.8,FALSE,N/A
FB000739,Bottoms,Ann Taylor,Fall,XXL,Brown,49.6,0,49.6,2025-08-06,32,4.7,FALSE,N/A
FB000094,Bottoms,H&M,Fall,XS,Beige,80.64,0,80.64,2025-08-06,26,0,FALSE,N/A
FB000755,Accessories,Ann Taylor,Summer,OS,Navy,73.04,0,73.04,2025-08-06,44,4.2,FALSE,N/A
FB000773,Shoes,Ann Taylor,Summer,XS,Black,126.25,25.9,93.55,2025-08-06,40,1.5,TRUE,Size Issue
FB000787,Dresses,Ann Taylor,Summer,S,Pink,117.38,27.8,84.75,2025-08-06,34,2.8,TRUE,Quality Issue
FB000788,Tops,Ann Taylor,Spring,S,Purple,83.98,0,83.98,2024-08-29,23,1.9,FALSE,N/A
FB000798,Outerwear,Ann Taylor,Spring,XXL,Green,131.74,0,131.74,2024-09-13,46,4.6,FALSE,N/A
FB000810,Outerwear,Ann Taylor,Fall,S,White,180.49,0,180.49,2025-08-06,18,2.5,TRUE,Wrong Item
FB000811,Dresses,Ann Taylor,Fall,XL,White,63.02,0,63.02,2025-08-06,37,2.5,FALSE,N/A
FB000815,Bottoms,Ann Taylor,Spring,L,Purple,117.18,13.7,101.13,2025-08-02,5,4.8,FALSE,N/A
FB000821,Bottoms,Ann Taylor,Winter,XXL,Purple,67.92,0,67.92,2025-08-06,23,1.8,TRUE,Size Issue
FB000822,Accessories,Ann Taylor,Fall,OS,White,25.39,0,25.39,2025-08-06,42,1.8,FALSE,N/A
FB000826,Accessories,Ann Taylor,Fall,OS,Pink,23.28,0,23.28,2025-08-06,44,3.1,TRUE,Quality Issue
FB000829,Shoes,Ann Taylor,Spring,XL,Gray,162.97,0,162.97,2024-11-22,47,2.2,TRUE,Wrong Item
FB000846,Dresses,Ann Taylor,Summer,XS,Navy,81.71,18,67,2025-08-06,28,4.7,FALSE,N/A
FB000108,Bottoms,H&M,Fall,XL,Blue,63.85,0,63.85,2025-08-06,41,0,FALSE,N/A
FB000871,Dresses,Ann Taylor,Fall,L,Red,134.77,0,134.77,2025-08-06,36,4.8,FALSE,N/A
FB000891,Shoes,Ann Taylor,Spring,L,Purple,93.6,0,93.6,2024-09-09,49,4.3,FALSE,N/A
FB000896,Tops,Ann Taylor,Summer,XS,Black,30.46,0,30.46,2025-08-06,19,1.2,FALSE,N/A
FB000917,Outerwear,Ann Taylor,Fall,S,Pink,155.3,0,155.3,2025-08-06,9,3,FALSE,N/A
FB000920,Accessories,Ann Taylor,Summer,OS,White,52.99,59.1,21.67,2025-08-06,50,3.4,TRUE,Size Issue
FB000922,Accessories,Ann Taylor,Spring,OS,Green,40.01,0,40.01,2025-06-05,22,4.5,FALSE,N/A
FB000925,Tops,Ann Taylor,Summer,M,Gray,76.33,0,76.33,2025-08-06,15,2,TRUE,Wrong Item
FB000939,Tops,Ann Taylor,Spring,XXL,Purple,69.77,0,69.77,2024-11-09,29,5,FALSE,N/A
FB000117,Accessories,Uniqlo,Fall,OS,Brown,72.04,0,72.04,2025-08-06,48,0,TRUE,Wrong Item
FB000948,Accessories,Ann Taylor,Fall,OS,Gray,73.43,0,73.43,2025-08-06,22,2.3,FALSE,N/A
FB000119,Bottoms,Uniqlo,Winter,S,Black,62.93,0,62.93,2025-08-06,49,0,FALSE,N/A
FB000949,Accessories,Ann Taylor,Spring,OS,Purple,70.75,0,70.75,2025-05-12,0,1.4,FALSE,N/A
FB000121,Shoes,Uniqlo,Fall,XXL,Navy,61.08,0,61.08,2025-08-06,27,0,TRUE,Changed Mind
FB000122,Bottoms,Gap,Winter,S,Red,109.12,0,109.12,2025-08-06,34,0,FALSE,N/A
FB000123,Outerwear,Zara,Winter,XXL,Purple,82.91,45.9,44.85,2025-08-06,24,0,TRUE,Quality Issue
FB000966,Shoes,Ann Taylor,Summer,M,Gray,161.24,56.6,69.98,2025-08-06,8,2.1,FALSE,N/A
FB000968,Shoes,Ann Taylor,Fall,XS,Purple,121.21,47.4,63.76,2025-08-06,45,3,TRUE,Changed Mind
FB000991,Accessories,Ann Taylor,Spring,OS,Purple,33.56,0,33.56,2025-03-27,24,3,FALSE,N/A
FB000994,Bottoms,Ann Taylor,Fall,OS,Beige,59.1,0,59.1,2025-08-06,47,4.6,FALSE,N/A
FB000998,Outerwear,Ann Taylor,Summer,XL,Green,129.78,9.5,117.45,2025-08-06,17,4,FALSE,N/A
FB001015,Bottoms,Ann Taylor,Spring,XXL,Brown,43.89,15.6,37.04,2025-04-30,31,1.7,TRUE,Wrong Item
FB001021,Tops,Ann Taylor,Summer,S,Black,97.17,0,97.17,2025-08-06,35,3,FALSE,N/A
FB001025,Bottoms,Ann Taylor,Spring,L,Blue,102.6,38.6,63,2025-05-10,14,4,FALSE,N/A
FB001031,Dresses,Ann Taylor,Summer,S,Green,147.58,0,147.58,2025-08-06,10,4.3,FALSE,N/A
FB000133,Tops,Mango,Spring,XL,White,116.61,0,116.61,2024-11-04,31,0,FALSE,N/A
FB001047,Outerwear,Ann Taylor,Summer,M,Black,235.33,0,235.33,2025-08-06,11,4.7,TRUE,Size Issue
FB001054,Shoes,Ann Taylor,Spring,M,Black,175.85,18.1,144.02,2025-01-29,4,4,FALSE,N/A
FB001067,Dresses,Ann Taylor,Spring,S,Black,107.58,55.9,47.44,2025-02-15,19,4.4,FALSE,N/A
FB001074,Outerwear,Ann Taylor,Winter,XS,White,116.49,0,116.49,2025-08-06,17,3.3,TRUE,Damaged
FB000138,Outerwear,Forever21,Fall,M,Pink,127.99,0,127.99,2025-08-06,16,0,FALSE,N/A
FB001090,Accessories,Ann Taylor,Summer,OS,Brown,39.17,0,39.17,2025-08-06,4,3.5,TRUE,Color Mismatch
FB001100,Shoes,Ann Taylor,Fall,XL,Beige,173.69,0,173.69,2025-08-06,25,3.6,FALSE,N/A
FB000141,Dresses,Ann Taylor,Spring,XS,Gray,131.5,0,131.5,2024-11-03,5,0,FALSE,N/A
FB001104,Accessories,Ann Taylor,Fall,OS,Beige,34.18,18.9,27.72,2025-08-06,50,3.6,FALSE,N/A
FB000143,Shoes,Forever21,Winter,XL,Red,173.91,0,173.91,2025-08-06,21,0,FALSE,N/A
FB001117,Dresses,Ann Taylor,Fall,XL,Pink,140.06,0,140.06,2025-08-06,37,2.3,FALSE,N/A
FB001131,Accessories,Ann Taylor,Fall,OS,Navy,21.57,11.9,19,2025-08-06,37,3,TRUE,Changed Mind
FB001171,Shoes,Ann Taylor,Summer,XL,Red,62.35,53.5,28.99,2025-08-06,1,4.1,FALSE,N/A
FB001172,Outerwear,Ann Taylor,Spring,XS,Navy,80.55,43.7,45.35,2024-10-21,41,4.8,TRUE,Changed Mind
FB001187,Outerwear,Ann Taylor,Spring,L,White,128.92,0,128.92,2025-07-10,40,1.5,FALSE,N/A
FB001199,Tops,Ann Taylor,Fall,M,Red,74.07,0,74.07,2025-08-06,47,1.4,FALSE,N/A
FB001205,Shoes,Ann Taylor,Spring,XS,Purple,184.87,0,184.87,2024-09-28,32,1.8,FALSE,N/A
FB001212,Shoes,Ann Taylor,Summer,XXL,Beige,127.52,0,127.52,2025-08-06,0,3.4,FALSE,N/A
FB001236,Outerwear,Ann Taylor,Spring,L,Green,126.14,0,126.14,2025-05-18,24,3.6,FALSE,N/A
FB001242,Accessories,Ann Taylor,Winter,OS,White,30.58,9.8,27.58,2025-08-06,34,3.4,FALSE,N/A
FB001252,Shoes,Ann Taylor,Summer,OS,Gray,137.33,0,137.33,2025-08-06,35,4.6,FALSE,N/A
FB001259,Outerwear,Ann Taylor,Fall,XXL,Navy,158.31,0,158.31,2025-08-06,7,5,FALSE,N/A
FB000156,Tops,Banana Republic,Spring,XL,Blue,28.78,0,28.78,2024-10-03,21,0,FALSE,N/A
FB001281,Shoes,Ann Taylor,Winter,XS,Purple,137.83,0,137.83,2025-08-06,32,3.4,TRUE,Changed Mind
FB001288,Accessories,Ann Taylor,Winter,OS,Red,69.69,0,69.69,2025-08-06,35,3,FALSE,N/A
FB001304,Tops,Ann Taylor,Summer,XXL,Beige,40.12,27.7,29.01,2025-08-06,29,1.7,TRUE,Size Issue
FB001310,Accessories,Ann Taylor,Summer,OS,Beige,40.04,15.8,33.71,2025-08-06,31,1.8,FALSE,N/A
FB001338,Shoes,Ann Taylor,Summer,XXL,Navy,190.78,0,190.78,2025-08-06,39,3.7,FALSE,N/A
FB001351,Outerwear,Ann Taylor,Summer,M,Pink,81.67,0,81.67,2025-08-06,34,3.1,TRUE,Damaged
FB001367,Shoes,Ann Taylor,Fall,S,Purple,158.01,0,158.01,2025-08-06,19,2.6,FALSE,N/A
FB001371,Bottoms,Ann Taylor,Fall,M,Beige,60.97,0,60.97,2025-08-06,29,4.5,FALSE,N/A
FB000165,Shoes,Zara,Winter,M,White,168.36,0,168.36,2025-08-06,47,0,TRUE,Damaged
FB000166,Shoes,Gap,Fall,XL,Green,99.26,0,99.26,2025-08-06,33,0,TRUE,Quality Issue
FB001381,Outerwear,Ann Taylor,Spring,XS,Beige,100.27,0,100.27,2025-03-03,37,3.1,FALSE,N/A
FB001392,Outerwear,Ann Taylor,Winter,XS,Pink,90.58,0,90.58,2025-08-06,1,1,FALSE,N/A
FB001397,Shoes,Ann Taylor,Summer,L,Gray,81.46,58.8,33.56,2025-08-06,37,4.6,FALSE,N/A
FB001399,Tops,Ann Taylor,Summer,M,Brown,95.55,0,95.55,2025-08-06,25,4.7,FALSE,N/A
FB001409,Dresses,Ann Taylor,Spring,L,Gray,126.21,29.2,89.36,2024-08-15,25,1.1,FALSE,N/A
FB001425,Tops,Ann Taylor,Spring,XL,Blue,38.56,0,38.56,2025-05-30,39,1.5,FALSE,N/A
FB001433,Tops,Ann Taylor,Fall,XS,Red,70.88,0,70.88,2025-08-06,5,2.3,FALSE,N/A
FB001435,Dresses,Ann Taylor,Winter,L,Red,50.76,0,50.76,2025-08-06,45,4.3,FALSE,N/A
FB001451,Accessories,Ann Taylor,Spring,OS,Black,40.55,6.2,38.04,2024-09-09,26,3.7,TRUE,Wrong Item
FB001453,Tops,Ann Taylor,Fall,XL,Purple,63.39,0,63.39,2025-08-06,50,2.5,FALSE,N/A
FB001456,Tops,Ann Taylor,Winter,XXL,Beige,35.26,0,35.26,2025-08-06,47,2.3,FALSE,N/A
FB000178,Shoes,Mango,Fall,XXL,Pink,190.75,20,152.6,2025-08-06,47,0,FALSE,N/A
FB001490,Tops,Ann Taylor,Winter,L,White,69.33,0,69.33,2025-08-06,26,4.9,FALSE,N/A
FB001495,Outerwear,Ann Taylor,Fall,S,Purple,143.76,0,143.76,2025-08-06,7,2,FALSE,N/A
FB001505,Bottoms,Ann Taylor,Fall,XL,Black,46.42,0,46.42,2025-08-06,2,3.7,TRUE,Changed Mind
FB001521,Accessories,Ann Taylor,Spring,OS,Black,52.97,0,52.97,2025-07-26,36,4.6,FALSE,N/A
FB001531,Outerwear,Ann Taylor,Fall,S,Gray,124.69,40.9,73.69,2025-08-06,9,4.1,FALSE,N/A
FB001540,Dresses,Ann Taylor,Fall,XXL,Pink,115.39,11.2,102.47,2025-08-06,4,3.8,FALSE,N/A
FB001547,Accessories,Ann Taylor,Summer,OS,Gray,30.47,0,30.47,2025-08-06,34,4.2,FALSE,N/A
FB001556,Outerwear,Ann Taylor,Winter,M,White,80.04,0,80.04,2025-08-06,13,2.3,FALSE,N/A
FB000187,Tops,Gap,Fall,M,Blue,92.37,35.9,59.21,2025-08-06,20,0,FALSE,N/A
FB001574,Tops,Ann Taylor,Spring,S,Blue,52.46,12.2,46.06,2024-12-19,39,2.3,FALSE,N/A
FB001599,Dresses,Ann Taylor,Winter,M,Blue,79.04,0,79.04,2025-08-06,4,4.1,FALSE,N/A
FB001626,Shoes,Ann Taylor,Fall,XXL,Green,131.94,27.3,95.92,2025-08-06,6,2.8,TRUE,Damaged
FB001638,Accessories,Ann Taylor,Fall,OS,Black,40.04,45.5,21.82,2025-08-06,50,2.2,FALSE,N/A
FB001641,Outerwear,Ann Taylor,Spring,XXL,Beige,123.04,0,123.04,2025-04-05,13,1.2,FALSE,N/A
FB000193,Outerwear,Gap,Summer,XXL,Red,104.5,12.3,91.65,2025-08-06,42,0,FALSE,N/A
FB001662,Outerwear,Ann Taylor,Summer,XL,Black,118.92,0,118.92,2025-08-06,36,1.8,TRUE,Wrong Item
FB001663,Bottoms,Ann Taylor,Summer,XXL,Black,26.86,0,26.86,2025-08-06,18,3.2,FALSE,N/A
FB001674,Bottoms,Ann Taylor,Fall,OS,Pink,103.77,0,103.77,2025-08-06,12,4.4,FALSE,N/A
FB000197,Bottoms,Ann Taylor,Spring,XXL,Red,32.1,51.7,15.5,2024-11-23,27,0,FALSE,N/A
FB001688,Tops,Ann Taylor,Spring,XS,Beige,57.06,27.5,41.37,2024-12-25,43,1.8,FALSE,N/A
FB001689,Dresses,Ann Taylor,Winter,L,Black,158.24,0,158.24,2025-08-06,41,3.1,FALSE,N/A
FB001700,Dresses,Ann Taylor,Winter,XS,Green,156.24,0,156.24,2025-08-06,15,5,FALSE,N/A
FB000201,Bottoms,Zara,Spring,XS,Green,42.91,33.3,28.62,2024-11-23,18,0,FALSE,N/A
FB001717,Bottoms,Ann Taylor,Winter,XXL,Black,42.36,0,42.36,2025-08-06,37,1.4,FALSE,N/A
FB001718,Bottoms,Ann Taylor,Summer,M,Red,109.36,0,109.36,2025-08-06,24,1.7,FALSE,N/A
FB001719,Accessories,Ann Taylor,Winter,OS,Beige,59.98,0,59.98,2025-08-06,28,2.2,FALSE,N/A
FB001725,Shoes,Ann Taylor,Fall,OS,Brown,110.2,59.7,44.41,2025-08-06,13,3.5,TRUE,Color Mismatch
FB001748,Bottoms,Ann Taylor,Spring,XS,Red,68.46,50,34.23,2025-01-26,24,1.9,FALSE,N/A
FB001756,Shoes,Ann Taylor,Winter,L,Black,126.74,0,126.74,2025-08-06,2,2.9,FALSE,N/A
FB001781,Dresses,Ann Taylor,Summer,XL,Brown,102.71,55.9,45.3,2025-08-06,31,4.6,FALSE,N/A
FB001795,Dresses,Ann Taylor,Spring,XXL,White,151.83,0,151.83,2025-06-17,24,4.3,TRUE,Wrong Item
FB001798,Accessories,Ann Taylor,Winter,OS,Green,55.79,27.3,40.56,2025-08-06,39,4.9,FALSE,N/A
FB000211,Tops,Ann Taylor,Spring,S,Gray,25.49,16.7,21.23,2025-05-23,32,0,FALSE,N/A
FB001808,Accessories,Ann Taylor,Winter,OS,Navy,66.77,0,66.77,2025-08-06,28,5,TRUE,Size Issue
FB001817,Bottoms,Ann Taylor,Summer,L,Navy,26.5,57.9,11.16,2025-08-06,8,1.7,FALSE,N/A
FB001828,Bottoms,Ann Taylor,Fall,XXL,Gray,49.08,19.9,39.31,2025-08-06,46,1,TRUE,Changed Mind
FB001831,Dresses,Ann Taylor,Spring,XXL,Blue,78.3,0,78.3,2025-03-14,19,3,FALSE,N/A
FB001834,Tops,Ann Taylor,Summer,XS,Green,38.9,0,38.9,2025-08-06,1,5,FALSE,N/A
FB001854,Tops,Ann Taylor,Summer,S,Brown,99.65,7.4,92.28,2025-08-06,31,3.8,FALSE,N/A
FB000218,Tops,Zara,Summer,XXL,Pink,69.36,0,69.36,2025-08-06,25,0,FALSE,N/A
FB001858,Bottoms,Ann Taylor,Spring,OS,Gray,35.21,14.7,30.03,2024-12-23,15,3.1,TRUE,Quality Issue
FB001860,Dresses,Ann Taylor,Summer,S,Gray,142.43,0,142.43,2025-08-06,15,4.1,TRUE,Size Issue
FB001876,Bottoms,Ann Taylor,Winter,XS,Black,74.88,9.7,67.62,2025-08-06,23,2.6,FALSE,N/A
FB001878,Outerwear,Ann Taylor,Summer,XXL,Red,130.65,0,130.65,2025-08-06,20,2.6,FALSE,N/A
FB001884,Outerwear,Ann Taylor,Summer,S,Brown,147.5,0,147.5,2025-08-06,4,2.4,FALSE,N/A
FB001888,Bottoms,Ann Taylor,Winter,S,Beige,75.53,58.1,31.65,2025-08-06,33,4,FALSE,N/A
FB000225,Dresses,Gap,Winter,XL,Black,85.08,0,85.08,2025-08-06,29,0,FALSE,N/A
FB001911,Outerwear,Ann Taylor,Fall,S,Beige,160.05,53.7,74.1,2025-08-06,2,3.2,TRUE,Quality Issue
FB001916,Tops,Ann Taylor,Summer,M,Pink,115.58,0,115.58,2025-08-06,37,2.2,FALSE,N/A
FB001922,Tops,Ann Taylor,Fall,XS,Gray,114.76,24.3,86.87,2025-08-06,10,3.4,FALSE,N/A
FB001926,Accessories,Ann Taylor,Spring,OS,Blue,29.19,0,29.19,2025-03-15,20,1.9,FALSE,N/A
